한국무선인터넷산업연합회,http://www.moiba.or.kr/,,,,,
한국정보인증(주),https://www.signgate.com/main.sg,공인인증서 발급업체,,,,
안랩,http://ahnlab.com,안랩 키보드보안 등 보안프로그램을 만드는 업체,,,,
이니텍(주),http://initech.com/,보안메일 암호/복호화 프로그램을 만드는 업체,,,,
(주) 한컴시큐어 소프트포럼,http://www.softforum.co.kr/,Xecure-로 시작되는 공인인증 암호화 관련 프로그램을 만드는 업체,,,,
(주) 네이팅텔,http://natingtel.com,없어짐,,,,
"BTWorks, Inc.",,공인인증서 옮기는 프로그램을 만든 업체,,,,
인포바인(주),http://www.infovine.co.kr/,공인인증서를 휴대폰에 저장하는 프로그램을 만든 업체,,,,
소프트이십오(주),http://www.soft25.co.kr/,메일 암호화 프로그램 및 PKI키 기반 암호화 프로그램을 만드는 업체,,,,
클립소프트,http://www.clipsoft.co.kr/,클립소프트의 웹 리포팅 툴인 '렉스퍼트 3.0'으로 제작된 문서를 볼 수 있도록 해주는 뷰어(viewer) 프로그램을 만드는 업체 ,,,,
드림시큐리티,http://www.dreamsecurity.com/,인증보안 전문기업으로 magiclinembx라는 유선보안 솔루션을 만드는 업체,,,,
소프트시큐리티,http://faq.touchen.co.kr/,"기업을 대상으로 한 보안 솔루션을 제공하고 있으며, 국내에서 통합계정관리(Single Sign On, SSO)와 PC보안 시장의 60%에 육박하는 점유율을 갖고 있다.",,,,
솔비텍,http://www.solbitech.com/main,리포팅 툴인 Aiviewer 5.0을 만드는 업체,,,,
마크애니 (주),http://www.markany.com/,PC화면 캡쳐방지 프로그램을 만드는 업체,,,,
투비소프트,http://www.tobesoft.co.kr/,기업을 위한 X-internet 기반 플랫폼인 마이플랫폼을 만드는 업체,,,,
(주)유니소프트,http://wisegrid.kr/,스프레드시트를 웹에서 구현하는 액티브엑스인 와이즈그리드를 만드는 업체,,,,
에스지에이시스템즈,http://www.sgasol.kr/?ckattempt=1,"인터넷제증명 발급 프로그램인 BCQRE를 만드는 회사로, 비씨큐어를 2009년에 인수, 프린터를 아주 잘 가린다",,,,
한국전자인증,http://www.crosscert.com/,공인인증 업체,,,,
엔프로텍트,http://www.nprotect.com/,엔프로텍트를 만드는 업체,,,,
위즈베라,http://www.wizvera.com/,액티브엑스 프로그램을 관리하는 프로그램인 베라포트를 만드는 업체,,,,
펜타시큐리티,https://www.pentasecurity.com/?lang=ko,엘지 유플러스의 이삭 웹 CMS라는 엑티브엑스를 만드는 업체,,,,
이니라인,http://www.iniline.co.kr/,crosswarp라는 엑티브엑스 프로그램을 만드는 업체,,,,
이노릭스,http://www.innorix.com/en,파일 전송 프로그램을 만드는 업체,,,,
이파피루스,https://epapyrus.com/,"페이퍼리스 솔루션기업으로, 홈택스의 PDF 뷰어를 만드는 업체",,,,
코마스,http://www.comas.co.kr/html/index.html,PDF의 시점 인증 프로그램을 만드는 업체,,,,
크리니티,http://www.3rsoft.com/,크리니티 보안 기반의 메세징 소프트웨어를 만드는 업체,,,,
금융결제원,http://www.kftc.or.kr/kftc/main/EgovkftcHubMain.do,"전자지갑 서비스인 BankPayEFT 프로그램을 만드는 업체, 공인인증업체이기도 하다.",,,,
소프트캠프,http://webserver.softcamp.co.kr/main/,키보드보안 프로그램인 Secure Keystroke를 만드는 업체,,,,
유니사인,http://www.unisign.co.kr/,인증기관 최초의 모바일 인증서비스인 유니사인을 만드는 업체,,,,
라온시큐어,https://www.raonsecure.com/,더블마우스 키보드보안 프로그램을 만드는 업체,,,,
인터리젠,http://www.interezen.co.kr/interezen/,보안로그수집 프로그램을 만드는 업체,,,,
(주)엠투소프트,http://www.m2soft.co.kr/support/qna.asp,리포트 뷰어와 디자이너를 만드는 업체,,,,
KG이니시스,https://www.inicis.com/,"국내 최대 규모의 전자결제 대행사로, 1998년에 설립",,,,
올앳,https://www.allatpay.com,삼성그룹 계열의 전자결제 대행사,,,,
CJ네트웍스,http://www.cjolivenetworks.co.kr/itdivision/,CJ그룹 계열의 전자결제 대행사,,,,
LG유플러스,http://ecredit.uplus.co.kr/,LG유플러스의 전자결제사업을 맡아 운영하는 회사,,,,
KCP,http://www.kcp.co.kr/main.do,신용카드사 출자로 1998년에 설립 후 NHN에 2014년 인수된 전자결제 대행사,,,,
올더게이트,http://www.allthegate.com/ags/index.jsp,오프라인 카드 Van업무 전문회사인 NICE정보통신의 온라인 결제 대행사,,,,
위즈페이,http://www.wizzpay.co.kr/,"2014년에 생긴 신생 업체로, 유니윌이라는 IT솔루션 기업의 결제대행 사업부문",,,,
KSNET,https://www.ksnet.co.kr,오프라인 카드 Van 업무를 통해 성장한 전자결제 대행사,,,,